Player Name,Team Initials,world_cup_matches,tournaments
Josef MASOPUST,TCH,10,"1958, 1962"
Josef ORTH,TCH,3,1938
Josef SILNY,TCH,4,1934
Josef SMISTIK,AUT,4,1934
Josef STIBRANYI,TCH,6,1962
Josef STREB,GER,4,1934
Josef STROH,AUT,4,1934
Josef STROH,GER,2,1938
Josef ZEMAN,TCH,3,1938
Joseph ALCAZAR,FRA,1,1934
Joseph Antoine BELL,CMR,11,"1982, 1990, 1994"
Joseph BONNEL,FRA,3,1966
Joseph ELANGA,CMR,3,1998
Joseph ENANGA,CMR,3,1982
Joseph GONZALEZ,FRA,1,1934
Joseph KAMGA,CMR,3,1982
Joseph MERMANS,BEL,2,1954
Joseph NDO,CMR,3,1998
Joseph NELIS,BEL,1,1938
Joseph-Desire JOB,CMR,3,1998
Joseph-Marion LEANDRE,HAI,3,1974
Josif MORAVETZ,ROU,1,1934
Josip KATALINSKI,YUG,6,1974
Josip SKOBLAR,YUG,6,1962
Josip WEBER,BEL,4,1994
Joszef NAGY,ROU,2,1938
Jovan ACIMOVIC,YUG,6,1974
Jozef ADAMEC,TCH,9,"1962, 1970"
Jozef BARMOS,TCH,3,1982
Jozef CAPKOVIC,TCH,3,1970
Jozef CHOVANEC,TCH,5,1990
Jozef JURKANIN,TCH,3,1970
Jozef KORBAS,POL,1,1938
Jozef KUKUCKA,TCH,3,1982
Jozef MLYNARCZYK,POL,11,"1982, 1986"
Jozef VLIERS,BEL,2,1954
Jozef WANDZIK,POL,4,1986
Jozsef ANDRUSCH,HUN,3,1986
Jozsef BENCSIS,HUN,4,1958
Jozsef BOZSIK,HUN,9,"1954, 1958"
Jozsef CSUHAY,HUN,6,"1982, 1986"
Jozsef GELEI,HUN,4,1966
Jozsef HADA,HUN,6,"1934, 1938"
Jozsef KARDOS,HUN,3,1986
Jozsef KIPRICH,HUN,3,1986
Jozsef NAGY,HUN,3,1986
Jozsef PALINKAS,HUN,4,1938
Jozsef SZENDREI,HUN,3,1986
Jozsef TOTH,HUN,11,"1954, 1978, 1982"
Jozsef TURAY,HUN,4,1938
Jozsef VAGO,HUN,2,1934
Jozsef VARGA,HUN,6,"1982, 1986"
Jozsef ZAKARIAS,HUN,5,1954
Juan ACUNA,ESP,6,1950
Juan AGUERO,PAR,3,1958
Juan AGUILERA,CHI,3,1930
Juan ALONSO,CUB,3,1938
Juan ANSELMO,URU,4,1930
Juan AYRA,CUB,3,1938
Juan Alfonso VALLE,PER,2,1930
Juan Antonio SENOR,ESP,5,1986
Juan BARBAS,ARG,5,1982
Juan BOTASSO,ARG,5,1930
Juan BURGUENO,URU,4,1950
Juan CACERES,PER,6,1978
Juan CARRENO,MEX,3,1930
Juan CAYASSO,CRC,4,1990
Juan CRUZ,HON,3,1982
Juan Carlos ABLANEDO,ESP,9,"1986, 1990"
Juan Carlos CALVO,URU,4,1930
Juan Carlos CHAVEZ,MEX,4,1994
Juan Carlos GONZALEZ,URU,4,1950
Juan Carlos OBLITAS,PER,9,"1978, 1982"
Juan EVARISTO,ARG,5,1930
Juan Francesco LOMBARDO,ARG,3,1958
Juan GOMEZ,MEX,2,1954
Juan GUERRA,BOL,1,1950
Juan Gualberto FERNANDEZ,SLV,3,1970
Juan HOHBERG,URU,5,1954
Juan Ignacio BASAGUREN,MEX,4,1970
Juan LETELIER,CHI,3,1982
Juan Leon CANETE,PAR,2,1950
Juan MACHUCA,CHI,3,1974
Juan MARTINEZ,SLV,3,1970
Juan MASNIK,URU,3,1974
Juan MUJICA,URU,6,1970
Juan MUNANTE,PER,6,1978
Juan Manuel ALEJANDREZ,MEX,4,1970
Juan Manuel ASENSI,ESP,3,1978
Juan Manuel PENA,BOL,3,1994
Juan NOGUES,ESP,3,1934
Juan OLENIAK,ARG,3,1962
Juan OLIVARES,CHI,6,"1966, 1974"
Juan PEDEVILLA,ARG,1,1934
Juan RAMIREZ,MEX,4,1994
Juan RODRIGUEZ,CHI,3,1974
Juan SARNARI,ARG,4,1966
Juan SCHIAFFINO,URU,9,"1950, 1954"
Juan SILVA,URU,3,1974
Juan SIMON,ARG,7,1990
Juan TORALES,PAR,4,1986
Juan TUNAS,CUB,3,1938
Juan VALDIVIESO,PER,2,1930
Juan Vicente LEZCANO,PAR,3,1958
Juerg STUDER,SUI,4,1994
Juergen CROY,GDR,6,1974
Juergen GRABOWSKI,FRG,19,"1966, 1970, 1974"
Juergen KLINSMANN,FRG,7,1990
Juergen KLINSMANN,GER,5,1998
Juergen KOHLER,FRG,7,1990
Juergen KOHLER,GER,5,1998
Juergen KURBJUHN,FRG,4,1962
Juergen POMMERENKE,GDR,6,1974
Juergen SOMMER,USA,7,"1994, 1998"
Juergen SPARWASSER,GDR,6,1974
Juergen WERNER,FRG,4,1962
Julen LOPETEGUI,ESP,5,1994
Jules Denis ONANA,CMR,5,1990
Jules PAPPAERT,BEL,1,1934
Jules VANDOOREN,FRA,3,"1934, 1938"
Julian CORONEL,PAR,4,1986
Julien DARUI,FRA,2,1938
Julio ABBADIE,URU,5,1954
Julio BALDIVIESO,BOL,3,1994
Julio BAYLON,PER,4,1970
Julio CARDENOSA,ESP,3,1978
Julio CORTES,URU,13,"1962, 1966, 1970"
Julio Cesar ARZU,HON,3,1982
Julio Cesar BRITOS,URU,4,1950
Julio Cesar JIMENEZ,URU,3,1974
Julio Cesar ROMERO,PAR,4,1986
Julio Cesar URIBE,PER,3,1982
Julio Cesar YEGROS,PAR,4,1998
Julio HERNANDEZ,SLV,3,1982
Julio LORES,PER,2,1930
Julio LOSADA,URU,6,1970
Julio MACEIRAS,URU,5,1954
Julio MONTERO CASTILLO,URU,9,"1970, 1974"
Julio MORALES,URU,6,1970
Julio MUSSIMESI,ARG,3,1958
Julio OLARTICOECHEA,ARG,19,"1982, 1986, 1990"
Julio PEREZ,URU,9,"1950, 1954"
Julio QUINTANA,PER,2,1930
Julius BIELIK,TCH,5,1990
Julius HJULIAN,USA,1,1934
Jupp HEYNCKES,FRG,7,1974
Jupp KAPPELLMANN,FRG,7,1974
Jupp POSIPAL,FRG,6,1954
Juri VOINOV,URS,5,1958
Jurica JERKOVIC,YUG,9,"1974, 1982"
Just FONTAINE,FRA,6,1958
J�,BRA,7,2014
J�RGENSEN,DEN,3,2010
K H LEE,KOR,3,2014
K H SEOL,KOR,7,2002
K Y HAN,KOR,3,2014
K. AL-MOWALAD,KSA,4,1994
K. AL-MUWALID,KSA,3,1998
K. ASAMOAH,GHA,3,2014
K. AZIZI,IRN,3,1998
K. BAGHERI,IRN,3,1998
K. KUM IL,PRK,3,2010
K. KYONG IL,PRK,3,2010
K. MYONG GIL,PRK,3,2010
K. MYONG WON,PRK,3,2010
K. NAKAMURA,JPN,4,2010
K. NAKATA,JPN,3,2006
K. SVENSSON,SWE,4,2006
K. YONG JUN,PRK,3,2010
K.ASAMOAH,GHA,5,2010
K.NAKATA,JPN,4,2002
KA?AR,SRB,3,2010
KADIR,ALG,3,2010
KAGAWA,JPN,3,2014
KAHLENBERG,DEN,3,2010
KAHN,GER,14,"2002, 2006"
KAITA,NGA,3,2010
KAJI,JPN,3,2006
KAKA,BRA,7,2002
KAKITANI,JPN,3,2014
KAK�,BRA,10,"2006, 2010"
KALAC,AUS,4,2006
KALI,ANG,3,2006
KALINICHENKO,UKR,5,2006
KALLA,CMR,9,"1994, 1998, 2002"
KALOU,CIV,9,"2006, 2010, 2014"
KALUZNY,POL,3,2002
KAMENI,CMR,6,"2002, 2010"
KANG Bong Chil,PRK,4,1966
KANG Chang Gi,KOR,2,1954
KANG Deuk Soo,KOR,3,1986
KANG Ryong Woon,PRK,4,1966
KANU,NGA,10,"1998, 2002, 2010"
KANUNNIKOV,RUS,3,2014
KAPETANOS,GRE,3,2010
KAPINO,GRE,4,2014
KARAGOUNIS,GRE,7,"2010, 2014"
KARIC,SVN,3,2002
KARIM,IRN,3,2014
KARIM MOHAMED,IRQ,3,1986
KARIRI,KSA,3,2006
KARNEZIS,GRE,4,2014
KARPIN,RUS,3,2002
KASRAOUI ,TUN,3,2006
KATSOURANIS,GRE,7,"2010, 2014"
KAVIEDES,ECU,3,2002
KAWAGUCHI,JPN,11,"2002, 2006, 2010"
KAWASHIMA,JPN,7,"2010, 2014"
KE Seung Woon,PRK,4,1966
KEANE,IRL,4,2002
KEHL,GER,14,"2002, 2006"
KEITA,CIV,6,"2006, 2010"
KELLER,USA,8,"2002, 2006"
KENNEDY,AUS,7,"2006, 2010"
KEOWN,ENG,5,2002
KERZHAKOV,RUS,6,"2002, 2014"
KEWELL,AUS,7,"2006, 2010"
KEZMAN,SCG,3,2006
KH. FADIGA,SEN,5,2002
KH. HEYDARI,IRN,3,2014
KHALEEL GHANIM,UAE,3,1990
KHALID ISMAIL,UAE,3,1990
KHALIL MOHAMED,IRQ,3,1986
KHATHRAN,KSA,3,2002
KHEDIRA,GER,14,"2010, 2014"
KHOJAH,KSA,3,2006
KHOJALI,KSA,3,2002
KHOKHLOV,RUS,3,2002
KHUBONI,RSA,3,2010
KHUMALO,RSA,3,2010
KHUNE,RSA,3,2010
KIELY,IRL,4,2002
KIE�LING,GER,7,2010
KIHLSTEDT,SWE,4,2002
KIHUN,KOR,4,2010
KIHYEON,KOR,3,2006
KIKO,ESP,3,1998
KILBANE,IRL,4,2002
KILLEN,NZL,3,2010
KIM B. J.,KOR,3,1998
KIM Bong Hwan,PRK,4,1966
KIM D. H.,KOR,3,1998
KIM D. K.,KOR,3,1998
KIM Ji Sung,KOR,2,1954
KIM Jong Boo,KOR,3,1986
KIM Joo Sung,KOR,9,"1986, 1990, 1994"
KIM Pan Keun,KOR,3,1994
KIM Poong Jo,KOR,3,1990
KIM Pyung Seok,KOR,3,1986
KIM Sam Soo,KOR,3,1986
KIM Seung Il,PRK,4,1966
KIM T. Y.,KOR,3,1998
KIM Young Se,KOR,3,1986
KIM Yung Kil,PRK,4,1966
KING,ENG,4,2010
KINGSON,GHA,5,2010
KINGSON ,GHA,4,2006
KINSELLA,IRL,4,2002
KINSKY,CZE,3,2006
KIRM,SVN,3,2010
KISHISHEV,BUL,3,1998
KIYOTAKE,JPN,3,2014
KJAER,DEN,4,2002
KJ�R,DEN,3,2010
KLASNIC,CRO,3,2006
KLEBERSON,BRA,12,"2002, 2010"
KLINSMANN,GER,5,1994
KLOS,POL,3,2002
KLOSE,GER,28,"2002, 2006, 2010, 2014"
KNAVS,SVN,3,2002
KO J. S.,KOR,3,1998
KOHLER,GER,5,1994
KOKE,ESP,3,2014
KOKORIN,RUS,3,2014
KOLAROV,SRB,3,2010
KOLA�INAC,BIH,3,2014
KOLLER,CZE,3,2006
KOMAC,SVN,3,2010
KOMANO,JPN,7,"2006, 2010"
KOMPANY,BEL,5,2014
KONE,GRE,4,2014
KONE A.,CIV,3,2006
KONE B.,CIV,3,2006
KONGOLO,NED,7,2014
KONNO,JPN,7,"2010, 2014"
KOPUNEK,SVK,4,2010
KOREN,SVN,3,2010
KOROMAN,SCG,3,2006
KOSCIELNY,FRA,5,2014
KOSOWSKI,POL,3,2006
KOSTADINOV,BUL,7,1994
KOUAMATIEN,CIV,3,2010
KOUASSI,CIV,3,2006
KOUMANTARAKIS,RSA,3,2002
KOVA?I?,CRO,3,2014
KOVAC,CZE,3,2006
KOVAC N.,CRO,3,2002
KOVAC R.,CRO,3,2002
KOVACEVIC,SCG,3,2006
KOVTUN,RUS,3,2002
KOZAK,SVK,4,2010
KOZLOV,RUS,3,2014
KOZMINSKI,POL,3,2002
KRAMER,GER,7,2014
KRANJCAR,CRO,3,2006
KRASI?,SRB,3,2010
KRHIN,SVN,3,2010
KROMKAMP,NED,4,2006
KROOS,GER,14,"2010, 2014"
KRSTAJIC,SCG,3,2006
KRUL,NED,7,2014
KRYSZALOWICZ,POL,3,2002
KRZYNOWEK,POL,6,"2002, 2006"
KR�LDRUP,DEN,3,2010
KUCHARSKI,POL,3,2002
KUCIAK,SVK,4,2010
KUCKA,SVK,4,2010
KUFFOUR,GHA,4,2006
KUN AGUERO,ARG,5,2010
KUSZCZAK,POL,3,2006
KUYT,NED,18,"2006, 2010, 2014"
KUZMANOVI?,SRB,3,2010
KVIST,DEN,3,2010
KWARASEY,GHA,3,2014
KYRGIAKOS,GRE,3,2010
KYUNGHO,KOR,3,2006
Kabasu BABO,ZAI,3,1974
Kacmaz AKGUN,TUR,3,1954
Kafula NGOYE,ZAI,3,1974
Kais GHODHBANE,TUN,3,1998
Kakhi ASATIANI,URS,4,1970
Kakoko ETEPE,ZAI,3,1974
Kalambay OTEPA,ZAI,3,1974
Kalle SVENSSON,SWE,11,"1950, 1958"
Kalman IHASZ,HUN,8,"1962, 1966"
Kalman KOVACS,HUN,3,1986
Kalman MESZOLY,HUN,8,"1962, 1966"
Kalman SOVARI,HUN,8,"1962, 1966"
Kamel CHEBALI,TUN,3,1978
Kamel MASOUD,EGY,1,1934
Karel BURKERT,TCH,3,1938
Karel KOLSKY,TCH,3,1938
Karel OOMS,NED,1,1938
Karel SENECKY,TCH,3,1938
Karel STROMSIK,TCH,3,1982
Karim MAROC,ALG,6,"1982, 1986"
Karl ALLGOEWER,FRG,7,1986
Karl Erik GRAHN,SWE,3,1938
Karl GIESSER,AUT,5,1954
Karl HOHMANN,GER,4,1934
Karl Heinz FOERSTER,FRG,14,"1982, 1986"
Karl JOHNSSON,SWE,2,1934
Karl KOLLER,AUT,8,"1954, 1958"
Karl LOKEN,NOR,3,1994
Karl MAI,FRG,6,1954
Karl ODERMATT,SUI,3,1966
Karl SESTA,AUT,4,1934
Karl STOTZ,AUT,8,"1954, 1958"
Karl ZISCHEK,AUT,4,1934
Karl-Erik PALMER,SWE,5,1950
Karl-Heinz METZNER,FRG,6,1954
Karl-Heinz RUMMENIGGE,FRG,20,"1978, 1982, 1986"
Karl-Heinz SCHNELLINGER,FRG,22,"1958, 1962, 1966, 1970"
Karlheinz RIEDLE,FRG,7,1990
Karlheinz RIEDLE,GER,5,1994
Karol DOBIAS,TCH,3,1970
Karol JOKL,TCH,3,1970
Karoly CSAPO,HUN,6,"1978, 1982"
Karoly SANDOR,HUN,8,"1958, 1962"
Kasey KELLER,USA,6,"1990, 1998"
Kassem SLIMANI,MAR,3,1970
Kazadi MUAMBA,ZAI,3,1974
Kazimierz DEYNA,POL,13,"1974, 1978"
Kazimierz KMIECIK,POL,7,1974
Kazimierz LIS,POL,1,1938
Kazimierz PRZYBYS,POL,4,1986
Kazimir GAJDOS,TCH,6,"1954, 1958"
Kazimir HNATOW,FRA,6,1958
Kees MIJNDERS,NED,1,1934
Keith McKAY,NZL,3,1982
Keith NEWTON,ENG,4,1970
Kembo Uba KEMBO,ZAI,3,1974
Ken ARMSTRONG,ENG,3,1954
Ken GREEN,ENG,3,1954
Ken JONES,WAL,5,1958
Ken LEEK,WAL,5,1958
Kennet ANDERSSON,SWE,7,1994
Kenny BURNS,SCO,3,1978
Kenny CRESSWELL,NZL,3,1982
Kenny DALGLISH,SCO,9,"1974, 1978, 1982"
Kenny SANSOM,ENG,10,"1982, 1986"
Kent KARLSSON,SWE,9,"1974, 1978"
Kent NIELSEN,DEN,4,1986
Kerry DIXON,ENG,5,1986
Kevin GALLACHER,SCO,3,1998
Kevin KEEGAN,ENG,5,1982
Kevin MORAN,IRL,9,"1990, 1994"
Kevin SHEEDY,IRL,5,1990
Khaled BADRA,TUN,3,1998
Khaled GASMI,TUN,3,1978
Khalil AZMI,MAR,3,1994
Khamis AL DOSSARI,KSA,3,1998
Khemais LABIDI,TUN,3,1978
Khoren OGANESIAN,URS,5,1982
Kibonge MAFU,ZAI,3,1974
Kick SMIT,NED,2,"1934, 1938"
Kidumu MANTANTU,ZAI,3,1974
Kiki ANTENEN,SUI,10,"1950, 1954, 1962"
Kilasu MASSAMBA,ZAI,3,1974
Kiril DOJCINOVSKI,YUG,6,1974
Kiril IVKOV,BUL,3,1974
Kiril MILANOV,BUL,3,1974
Kiril RAKAROV,BUL,3,1962
Kjetil REKDAL,NOR,4,1998
Klas INGESSON,SWE,10,"1990, 1994"
Klaus ALLOFS,FRG,7,1986
Klaus AUGENTHALER,FRG,14,"1986, 1990"
Klaus BERGGREEN,DEN,4,1986
Klaus FICHTEL,FRG,6,1970
Klaus FISCHER,FRG,13,"1978, 1982"
Klaus LINDENBERGER,AUT,8,"1982, 1990"
Klaus-Dieter SIELOFF,FRG,12,"1966, 1970"
Knut BRYNILDSEN,NOR,1,1938
Knut HANSSON,SWE,3,1938
Knut KROON,SWE,2,1934
Knut NORDAHL,SWE,5,1950
Koebi KUHN,SUI,3,1966
Konrad WEISE,GDR,6,1974
Konstantin KRIZHEVSKI,URS,5,1958
Kosta TOMASEVIC,YUG,3,1950
Kostadin KOSTADINOV,BUL,4,1986
Krasimir BORISOV,BUL,3,1974
Krassimir BALAKOV,BUL,3,1998
Krister KIRSTERSSON,SWE,3,1970
Kristian HENRIKSEN,NOR,1,1938
Krunoslav JURCIC,CRO,7,1998
Krzysztof PAWLAK,POL,4,1986
Kurt AMBRUSTER,SUI,3,1966
Kurt AXELSSON,SWE,3,1970
Kurt HAMRIN,SWE,6,1958
Kurt JARA,AUT,11,"1978, 1982"
Kurt REY,SUI,3,1950
Kurt RUSS,AUT,3,1990
Kurt SCHMIED,AUT,8,"1954, 1958"
Kurt STETTLER,SUI,3,1962
Kurt SVANSTROM,SWE,3,1938
Kurt WELZL,AUT,5,1982
Kyriakos KARATAIDIS,GRE,3,1994
K�LLSTR�M,SWE,4,2006
K�PKE,GER,5,1998
L GUSTAVO,BRA,7,2014
L MICHEL,MEX,4,2010
L. BLANC,FRA,7,1998
L. FABIANO,BRA,5,2010
L. FERDINAND,ENG,4,1998
L. HERNANDEZ,MEX,4,2002
L. JACOBSEN,DEN,3,2010
L. PEREZ,MEX,4,2006
L. SUAREZ,URU,4,2014
LACATUS,ROU,4,1990
LACEN,ALG,7,"2010, 2014"
LAFUENTE,ESP,3,1934
LAHM,GER,21,"2006, 2010, 2014"
LAIFAOUI,ALG,3,2010
LALAS,USA,4,1994
LALLANA,ENG,3,2014
LAMBERT,ENG,3,2014
LAMPARD,ENG,12,"2006, 2010, 2014"
LAM�,ANG,3,2006
LANDREAU,FRA,12,"2006, 2014"
LANDZAAT,NED,4,2006
LANG,SUI,4,2014
LANGERAK,AUS,3,2014
LARA,MEX,4,1998
LARSEN,DEN,3,2010
LARSSON,SWE,8,"2002, 2006"
LATAPY,TRI,3,2006
LAUDRUP B.,DEN,5,1998
LAUDRUP M.,DEN,5,1998
LAUREN,CMR,3,2002
LAURSEN,DEN,4,2002
LAVEZZI,ARG,7,2014
LAWAL,NGA,3,2002
LAWRENCE,TRI,3,2006
LAZARIDIS,AUS,4,2006
LAZAROS,GRE,4,2014
LAZOVI?,SRB,3,2010
LEANDRO,BRA,5,1982
LEAO,BRA,25,"1970, 1974, 1978, 1986"
LEBO LEBO,ANG,3,2006
LEBOEUF,FRA,3,2002
LECKIE,AUS,3,2014
LEE Chang Myung,PRK,4,1966
LEE D. G.,KOR,3,1998
LEE Heung Sil,KOR,3,1990
LEE J. Y.,KOR,3,1998
LEE Jong Uwa,KOR,3,1994
LEE Keun Hak,PRK,4,1966
LEE L. S.,KOR,3,1998
LEE M. S.,KOR,3,1998
LEE S. H.,KOR,3,1998
LEE Sang Yi,KOR,2,1954
LEE Sang Yoon,KOR,3,1990
LEE Tae Ho,KOR,6,"1986, 1990"
LEE Woonjae,KOR,3,1994
LEE Young Jin,KOR,6,"1990, 1994"
LEHMANN,GER,14,"2002, 2006"
LEIGHTON,SCO,3,1990
LEIVINHA,BRA,7,1974
LEKGETHO,RSA,3,2002
LENNON,ENG,9,"2006, 2010"
LENS,NED,7,2014
LEONARDO,BRA,14,"1994, 1998"
LEONHARDSEN,NOR,3,1994
LEONI,SUI,3,2010
LEONIDAS,BRA,6,"1934, 1938"
LESMES II,ESP,6,1950
LETSHOLONYANE,RSA,3,2010
LEWANDOWSKI,POL,3,2006
LEWIS,USA,8,"2002, 2006"
LI Chi An,PRK,4,1966
LI Dong Woon,PRK,4,1966
LI Jong Kap,KOR,2,1954
LI Ki Joo,KOR,2,1954
LI Sao Nam,KOR,2,1954
LICHTSTEINER,SUI,7,"2010, 2014"
LIEDSON,POR,4,2010
LIM Zoong Sun,PRK,4,1966
LIMA,BRA,3,1966
LINDEROTH,SWE,8,"2002, 2006"
LINKE,GER,7,2002
LIZARAZU,FRA,3,2002
LJUBIJANKI?,SVN,3,2010
LJUBOJA,SCG,3,2006
LJUNGBERG,SWE,8,"2002, 2006"
LLAMOSA,USA,5,2002
LLORENTE,ESP,7,2010
LLORIS,FRA,8,"2010, 2014"
LOCHHEAD,NZL,3,2010
LOC�,ANG,3,2006
LODEIRO,URU,7,2010
LODYGIN,RUS,3,2014
LOKVENC,CZE,3,2006
LOMBAERTS,BEL,5,2014
LONNIS,CRC,3,2002
LOPES,BRA,5,1938
LOPEZ,CRC,3,2002
LOPEZ,HON,3,2014
LOPEZ C.,ARG,3,2002
LOPEZ G.,ARG,3,2002
LOPEZ UFARTE,ESP,5,1982
LOURENCO,POR,6,1966
LOVENKRANDS,DEN,4,2002
LOVREN,CRO,3,2014
LOZANO,COL,6,"1994, 1998"
LUBO PENEV,BUL,3,1998
LUCAS,PAR,5,2010
LUCIC,SWE,8,"2002, 2006"
LUCIO,BRA,7,2002
LUGANO,URU,7,2010
LUIS ENRIQUE,ESP,13,"1994, 1998, 2002"
LUIS GARCIA,ESP,4,2006
LUIS MARIN,ESP,3,1934
LUIS PEREIRA,BRA,7,1974
LUIS REGUEIRO,ESP,3,1934
LUISINHO,BRA,6,"1934, 1938"
LUIS�O,BRA,10,"2006, 2010"
LUIZ LUZ,BRA,1,1934
LUIZAO,BRA,7,2002
LUIZINHO,BRA,5,1982
LUKAKU,BEL,5,2014
LUKOVI?,SRB,3,2010
LULI?,BIH,3,2014
LUONGO,AUS,3,2014
LUQUE,ESP,5,2002
LUSTRINELLI,SUI,4,2006
LUSTU,DEN,4,2002
Labid KHALIFA,MAR,4,1986
Ladislao MAZURKIEWICZ,URU,13,"1966, 1970, 1974"
Ladislau RAFFINSKY,ROU,4,"1930, 1938"
Ladislav JURKEMIK,TCH,3,1982
Ladislav KACANI,TCH,2,1954
Ladislav KUNA,TCH,3,1970
Ladislav NOVAK,TCH,12,"1954, 1958, 1962"
Ladislav PETRAS,TCH,3,1970
Ladislav SIMUNEK,TCH,3,1938
Ladislav VIZEK,TCH,3,1982
Ladislav ZENISEK,TCH,4,1934
Lahcen ABRAMI,MAR,3,1998
Lahcen OUDANI,MAR,4,1986
Lajos CSORDAS,HUN,5,1954
Lajos DETARI,HUN,3,1986
Lajos KORANYI,HUN,4,1938
Lajos PUSKAS,HUN,4,1966
Lajos TICHY,HUN,12,"1958, 1962, 1966"
Lakhdar BELLOUMI,ALG,6,"1982, 1986"
Lamine BEN AZIZA,TUN,3,1978
Larbi EL HADI,ALG,3,1986
Lars BOHINEN,NOR,3,1994
Lars ERIKSSON,SWE,10,"1990, 1994"
Lars HOGH,DEN,4,1986
Laszlo BALINT,HUN,6,"1978, 1982"
Laszlo BODOR,HUN,4,1962
Laszlo BUDAI,HUN,9,"1954, 1958"
Laszlo CSEH,HUN,4,1938
Laszlo DAJKA,HUN,3,1986
Laszlo DISZTL,HUN,3,1986
Laszlo FAZEKAS,HUN,6,"1978, 1982"
Laszlo KISS,HUN,3,1982
Laszlo KOVACS,HUN,3,1978
Laszlo LACHOS,HUN,4,1958
Laszlo NAGY,HUN,3,1978
Laszlo PUSZTAI,HUN,3,1978
Laszlo SAROSI,HUN,8,"1958, 1962"
Laszlo STERNBERG,HUN,2,1934
Laurent DI LORTO,FRA,2,1938
Laurent GRIMMONPREZ,BEL,1,1934
Laurent ROBUSCHI,FRA,3,1966
Laurie HUGHES,ENG,3,1950
Laurie SCOTT,ENG,3,1950
Lauro AMADO,SUI,3,1938
Lav MANTULA,YUG,3,1954
Lazar SFERA,ROU,3,"1934, 1938"
Lazar SZENTES,HUN,3,1982
Lazare GIANESSI,FRA,2,1954
Leandro REMONDINI,ITA,2,1950
Lebogang MORULA,RSA,3,1998
Leen VENTE,NED,2,"1934, 1938"
Lefter KUCUKANDONYADIS,TUR,3,1954
Leif ENGQVIST,SWE,3,1990
Leif ERIKSSON,SWE,3,1970
Leif MALBERG,SWE,3,1970
Len ALLCHURCH,WAL,5,1958
Len GRAHAM,NIR,5,1958
Lennart BUNKE,SWE,3,1938
Lennart LARSSON,SWE,3,1978
Lennart SAMUELSSON,SWE,5,1950
Lennart SKOGLUND,SWE,11,"1950, 1958"
Leo CLIJSTERS,BEL,11,"1986, 1990"
Leo EICHMANN,SUI,3,1966
Leo HALLE,NED,1,1934
Leo VAN DER ELST,BEL,7,1986
Leo WILDEN,FRG,4,1962
Leon GLOVACKI,FRA,2,1954
Leon JECK,BEL,3,1970
Leon SEMMELING,BEL,3,1970
Leon VILLA,COL,4,1990
Leonard PIONTEK,POL,1,1938
Leonardo ASTRADA,ARG,5,1998
Leonardo COSTAGLIOLA,ITA,3,1954
Leonardo CUELLAR,MEX,3,1978
Leonardo FERREL,BOL,1,1950
Leonardo RODRIGUEZ,ARG,4,1994
Leonardo VELIZ,CHI,3,1974
Leonel ALVAREZ,COL,7,"1990, 1994"
Leonel SANCHEZ,CHI,9,"1962, 1966"
Leongino UNZAIN,PAR,2,1950
Leonid BURYAK,URS,5,1982
Leonid OSTROVSKI,URS,15,"1958, 1962, 1966"
Leonid SHMUTS,URS,4,1970
Leopold ANOUL,BEL,2,1954
Leopold BARSCHANDT,AUT,8,"1954, 1958"
Leopold GERNAEY,BEL,2,1954
Leopold HOFMANN,AUT,4,1934
Leopold KIELHOLZ,SUI,5,"1934, 1938"
Leopold NEUMER,GER,2,1938
Leopoldo LUQUE,ARG,7,1978
Leopoldo VALLEJOS,CHI,3,1974
Leslaw CMIKIEWICZ,POL,7,1974
Lev YASHIN,URS,19,"1958, 1962, 1966, 1970"
Libor RADIMEC,TCH,3,1982
Lido VIERI,ITA,6,1970
Ligorio LOPEZ,MEX,3,1958
Lilian THURAM,FRA,7,1998
Lino NESSI,PAR,2,1930
Linval DIXON,JAM,3,1998
Lionel CHARBONNIER,FRA,7,1998
Lionello MANFREDONIA,ITA,7,1978
Liviu CIOBOTARIU,ROU,4,1998
Lizardo GARRIDO,CHI,3,1982
Lizardo NUE RODRIGUEZ,PER,2,1930
Ljubinko DRULOVIC,YUG,4,1998
Ljubisa STEFANOVIC,YUG,3,1930
Ljubomir SPAJIC,YUG,3,1954
Lobilo BOBA,ZAI,3,1974
Lorenzo BUFFON,ITA,3,1962
Lorenzo CALONGA,PAR,2,1950
Lorenzo FERNANDEZ,URU,4,1930
Lorenzo MINOTTI,ITA,7,1994
Lorenzo STAELENS,BEL,7,"1990, 1998"
Lothar EMMERICH,FRG,6,1966
Lothar KURBJUWEIT,GDR,6,1974
Lothar MATTHAEUS,FRG,21,"1982, 1986, 1990"
Lou MACARI,SCO,3,1978
Louis CARRE,BEL,2,1954
Louis GABRILLARGUES,FRA,1,1934
Louis GOBET,SUI,2,1934
Louis MFEDE,CMR,8,"1990, 1994"
Louis VERSYP,BEL,3,"1930, 1934"
Lubomir MORAVCIK,TCH,5,1990
Lubos KUBIK,TCH,5,1990
Luc MILLECAMPS,BEL,5,1982
Luc NILIS,BEL,3,1998
Luc VAN HOYWEGEN,BEL,2,1954
Luca BUCCI,ITA,7,1994
Luca IZZETA,ARG,1,1934
Luca MARCHEGIANI,ITA,7,1994
Lucas RADEBE,RSA,3,1998
Lucian MARINESCU,ROU,4,1998
Luciano CASTELLINI,ITA,3,1974
Luciano RE CECCONI,ITA,3,1974
Luciano SPINOSI,ITA,3,1974
